"Dibutyltennväteborat	'75113-37-0	'401-040-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Kvicksilverbis(cyklohexanbutyrat)	'62638-02-2	'263-665-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Bis(fenylkvicksilver)borat	'6273-99-0	'228-465-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"4-Aminofenylkvicksilveracetat	'6283-24-5	'228-497-1	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Natrium-3-{[(3-hydroxikvicksilver-2-metoxipropyl)ureylen]karbonyl}propionat	'7620-30-6	'231-532-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilveracetat	'631-60-7	'211-161-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Vätetrijodomerkurat förening med 3-metyl-3H-benzotiazol-2-imin (1:1)	'72379-35-2	'276-613-4	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilver, (acetat-O)(2-hydroxi-5-nitrofenyl)-	'63468-53-1	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Di(acetato)anilinkvicksilver	'63549-47-3	'264-306-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-Metoxietylkvicksilvervätemetasilikat	'64491-92-5	'264-920-6	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverdistearat, rent	'645-99-8	'211-458-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Bis(triklormetyl)kvicksilver	'6795-81-9	'229-867-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Diamino(fenyl)kvicksilveracetat	'68201-97-8	'269-247-1	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Natriumtimerfonat	'5964-24-9	'227-741-4	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenyl(triklormetyl)kvicksilver	'3294-57-3	'221-960-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-(Hydroxikvicksilver)benzoesyra	'14066-61-6	'237-918-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilver-bis(2-etylhexanoat)	'13170-76-8	'236-113-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Klorkvicksilverfenol	'1320-80-5	'215-308-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilver-bis(trifluoracetat)	'13257-51-7	'236-250-4	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Bis[(trimetylsilyl)metyl]kvicksilver	'13294-23-0	'236-315-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilver-2-etylhexanoat	'13302-00-6	'236-326-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Nitromersol	'133-58-4	'205-112-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverbis(4-klorbenzoat)	'15516-76-4	'239-548-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Natrium-4-hydroxikvicksilverbensoat	'138-85-2	'205-340-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-Hydroxipropanoatkvicksilverfenyl	'122-64-5	'204-560-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Jodometylkvicksilverjodid	'141-51-5	'205-485-4	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Hydrargafen	'14235-86-0	'238-107-1	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Jodometylkvicksilver	'143-36-2	'205-600-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenyl(8-kinolinato-N1,O8)kvicksilver	'14354-56-4	'238-316-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilver, bis(fenyldiazenkarbotiosyra 2-fenylhydrazidat-N2,S)-, (T-4)-	'14783-59-6	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-(Etylkvicksilvertio)bensoesyra	'148-61-8	'205-719-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-Metoxietylkvicksilveracetat	'151-38-2	'205-790-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilvernaftenat	'1336-96-5	'215-651-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"etylkvicksilverklorid	'107-27-7	'203-478-0	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Bis(2-metylfenyl)-kvicksilver	'616-99-9	'210-499-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilverdimetylditiokarbamat	'32407-99-1	'251-026-6	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Residues, zinc refining flue dust wastewater, mercury-selenium	'100403-63-2	'309-609-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilverklorid	'100-56-1	'202-865-1	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilverborat	'102-98-7	'203-068-1	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilverpropionat	'103-27-5	'203-094-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilversterat	'104-59-6	'203-217-0	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Dikvicksilveramidnitrat	'1310-88-9	'215-187-6	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Etylkvicksilverbromid	'107-26-6	'203-477-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-Etoxietylkvicksilveracetat	'124-08-3	'204-678-0	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Metylkvicksilveracetat	'108-07-6	'203-547-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Etylkvicksilveracetat	'109-62-6	'203-688-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Metylkvicksilverklorid	'115-09-3	'204-064-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Metylkvicksilverhydroxid	'1184-57-2	'214-667-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverdioleat	'1191-80-6	'214-741-4	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilverbromid	'1192-89-8	'214-760-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Merbromin	'129-16-8	'204-933-6	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilveroleat	'104-60-9	'203-218-6	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-Etylhexyl(fenylkvicksilver)maleat	'27605-30-7	'248-559-1	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"[naftalenkarboxilat(1-)-O]fenylkvicksilver	'31632-68-5	'250-736-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Klor(2-hydroxi-5-nitrofenyl)kvicksilver	'24579-90-6	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Di(fenylkvicksilver)dodecylsuccinat	'24806-32-4	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilverneodekanoat	'26545-49-3	'247-783-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"(2-{[2-hydroxi-3-(hydroxikvicksilver)propyl]aminokarbonyl}fenoxi)ättiksyra	'26552-50-1	'247-796-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverbis(kloracetat)	'26719-07-3	'247-925-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilvermaleat	'2701-61-3	'220-286-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-Etoxietylkvicksilverklorid	'124-01-6	'204-670-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"(dihydroxifenyl)fenylkvicksilver	'27360-58-3	'248-426-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"[2,2',2''-nitrilotris(etanol)-N,O,O',O'']fenylkvicksilverlaktat	'23319-66-6	'245-581-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"o-Tolylkvicksilverklorid	'2777-37-9	'220-469-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilversalicylat	'28086-13-7	'248-828-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilvertrifluoracetat	'2923-15-1	'220-875-4	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Dikvicksilveroxalat	'2949-11-3	'220-966-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"1-(4-klorkvicksilverfenylazo)-2-naftol	'3076-91-3	'221-358-6	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilvermetaborat	'31224-71-2	'250-518-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Klor[p-(2,4-dinitroanilin)phenyl]kvicksilver	'15785-93-0	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Bis(fenylkvicksilver)tetradecylsuccinat	'27236-65-3	'248-355-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Bis(2-metoxietylkvicksilver)metasilikat	'19367-79-4	'242-997-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverdiacetat	'1600-27-7	'216-491-1	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Etylkvicksilver	'16056-37-4	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Otimeratnatrium	'16509-11-8	'240-572-0	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Etantiolkvicksilverklorid	'1785-43-9	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Trikvicksilverdicitrat	'18211-85-3	'242-096-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"1-(bromkvicksilver)propan-2-ol	'18832-83-2	'242-613-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"2-Hydroxietylkvicksilver(1+)jon	'18893-80-6	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Etylkvicksilverjodid	'2440-42-8	'219-471-0	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverlaktat	'18918-06-4	'242-673-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Natrium-4-klorkvicksilverbensoat	'3198-04-7	'221-700-4	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilver[p-[[p-(dimetylamino)fenyl]azo]fenyl]acetat	'19447-62-2	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Merkaptomerinnatrium	'21259-76-7	'244-298-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Etylkvicksilver	'21687-36-5	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Tris(etylkvicksilver)fosfat	'2235-25-8	'218-790-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Ammin(fenyl)kvicksilveracetat	'22450-90-4	'245-006-6	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"(fenylkvicksilver)karbamid	'2279-64-3	'218-909-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Metylkvicksilver	'22967-92-6	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverdilaktat	'18917-83-4	'242-667-2	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilver(II)fulminat	'628-86-4	'211-057-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Miljöfarligt, långtidseffekter					
"kvicksilveroxicyanid	'1335-31-5	'215-629-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Miljöfarligt, långtidseffekter					
"Dimetylkvicksilver	'593-74-8	'209-805-3	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Dietylkvicksilver	'627-44-1	'211-000-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilverhydroxid	'100-57-2	'202-866-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilvernitrat	'55-68-5	'200-242-9	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter				
"Fenylkvicksilvernitrat, blandning med fenylkvicksilverhydroxid	'8003-05-2	'	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter				
"2-Metoxietylkvicksilverklorid	'123-88-6	'204-659-7	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter				
"Kvicksilverdiklorid	'7487-94-7	'231-299-8	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Mycket hög akut giftighet	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Fenylkvicksilveracetat	'62-38-4	'200-532-5	Utfasningsämne	Särskilt farliga metaller (Hg, Cd, Pb), Hg"	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter				
"Slimes and Sludges, copper conc. roasting off gas scrubbing, lead-mercury-selenium-contg.	'102110-61-2	'310-062-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Slimes and Sludges, battery scrap, antimony- and lead-rich	'102110-60-1	'310-061-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydistearat	'1072-35-1	'214-005-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydifosfinat	'10294-58-3	'233-664-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Residues, copper-iron-lead-nickel matte, sulfuric acid-insol.	'102110-49-6	'310-050-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Trietylblyklorid	'1067-14-7	'213-925-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydimetakrylat	'1068-61-7	'213-949-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Slimes and Sludges, copper-lead ore roasting off gas scrubbing, arsenic-contg.	'102110-62-3	'310-063-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blykiselkromat	'11113-70-5	'234-347-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Divismutdiblytetraruteniumtridekaoxid	'11116-83-9	'234-358-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blysilikat	'11120-22-2	'234-363-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydioleat	'1120-46-3	'214-310-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Trifenylblyacetat	'1162-06-7	'214-601-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blysuccinat	'1191-18-0	'214-732-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Lead ores, concs., leached	'102110-48-5	'310-049-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Kalciumsilikat, bly-och mangandopad	'100402-96-8	'309-535-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Klortrifenylbly	'1153-06-6	'214-572-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyisodekanoatnaftenat komplex, basisk	'101012-92-4	'309-793-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Dikalciumblytetraoxid	'12013-69-3	'234-591-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydiarsenit	'10031-13-7	'233-083-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydibromid	'10031-22-8	'233-084-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C9-11)-karboxylat grenade	'81412-57-9	'279-755-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydiformat	'811-54-1	'212-371-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C5-23)-grenade karboxylatoktanoat komplex	'84066-99-9	'281-935-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C4-10)-karboxylatnaftenat komplex	'84067-00-5	'281-936-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-4,6-dinitro-o-kresylathydroxidnitrat	'79357-62-3	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blytetrafluorid	'7783-59-7	'232-012-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydifluorid	'7783-46-2	'231-998-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyvolframtetraoxid	'7759-01-5	'231-849-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(II)klorid	'7758-95-4	'231-845-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
